Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,Asia Pacific (Seoul),Web,Amazon Virtual Private Cloud (VPC),0,1290.24,15482.88,USD,"DT Inbound: Internet (2 TB per month), DT Outbound: Internet (10 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (1290.24)"
My Estimate,Asia Pacific (Seoul),WAS,Amazon Virtual Private Cloud (VPC),0,0,0.00,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,Asia Pacific (Seoul),DB,Amazon Virtual Private Cloud (VPC),0,0,0.00,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,Asia Pacific (Seoul),Web,Amazon EC2,0,2306.31,27675.72,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 50), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (t4g.large), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,Asia Pacific (Seoul),WAS,Amazon EC2,0,5830.63,69967.56,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 25), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (r6g.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,Asia Pacific (Seoul),DB,Amazon RDS for MySQL,0,3337.0800000000004,40044.96,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.r5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,Asia Pacific (Seoul),ELB,Network Load Balancer,0,60.23,722.76,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour), Average number of new TCP connections (50 per second), Average TCP connection duration (0 seconds), Processed bytes per NLB for UDP (0 GB per hour), Average number of new UDP Flows (0 per second), Average UDP Flow duration (0 seconds), Processed bytes per NLB for TLS (0 GB per hour), Average number of new TLS connections (0 per second), Average TLS connection duration (0 seconds)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
